"","V1","year","month","week","rank","difference","title","singer","album","like","dif","issue_date"
"1",3,2012,1,2012-01-01,4,"NEW","Lovey-Dovey","티아라","Funky Town",31452,0,20120103
"2",10,2012,1,2012-01-01,11,"NEW","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,0,20120104
"3",12,2012,1,2012-01-01,13,"NEW","너니까","이현","The Healing Echo",4960,0,20120102
"4",65,2012,1,2012-01-01,66,"NEW","사랑이 뭐길래","일 락","사랑이 뭐길래",509,0,20120103
"5",88,2012,1,2012-01-01,89,"NEW","말하지마 (Narr. 장지은)","FIX","말하지마",599,0,20120104
"6",89,2012,1,2012-01-01,90,"NEW","마녀가 된 이유","NS 윤지","Neo Spirit",14553,0,20120105
"7",0,2012,1,2012-01-08,1,"NEW","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,0,20120107
"8",1,2012,1,2012-01-08,2,"상승","Lovey-Dovey","티아라","Funky Town",31452,2,20120103
"9",3,2012,1,2012-01-08,4,"상승","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,7,20120104
"10",7,2012,1,2012-01-08,8,"NEW","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,0,20120107
"11",10,2012,1,2012-01-08,11,"NEW","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,0,20120107
"12",11,2012,1,2012-01-08,12,"NEW","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,0,20120107
"13",14,2012,1,2012-01-08,15,"NEW","Like You (Feat. 아이유)","원티드","VINTAGE",12765,0,20120120
"14",16,2012,1,2012-01-08,17,"NEW","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,0,20120107
"15",18,2012,1,2012-01-08,19,"NEW","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,0,20120107
"16",23,2012,1,2012-01-08,24,"하락","너니까","이현","The Healing Echo",4960,-11,20120102
"17",24,2012,1,2012-01-08,25,"NEW","사랑의 서약 (Feat. 다이나믹 듀오, 노라조)","노홍철","무한도전 나름 가수다",4616,0,20120107
"18",30,2012,1,2012-01-08,31,"NEW","예쁜게 다니","살찐고양이","예쁜게 다니",7323,0,20120106
"19",38,2012,1,2012-01-08,39,"상승","마녀가 된 이유","NS 윤지","Neo Spirit",14553,51,20120105
"20",42,2012,1,2012-01-08,43,"NEW","사랑이 뭐길래 (Feat. Simon D)","피기돌스","사랑이 뭐길래",893,0,20120109
"21",58,2012,1,2012-01-08,59,"NEW","뉴스 (News)","나인뮤지스","NEWS",14267,0,20120111
"22",65,2012,1,2012-01-08,66,"NEW","이별연습 (인순이)","신효범","[나는 가수다] 경연 14-1",1099,0,20120108
"23",69,2012,1,2012-01-08,70,"NEW","독하게","스피카","독하게",3051,0,20120110
"24",73,2012,1,2012-01-08,74,"NEW","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,0,20120112
"25",75,2012,1,2012-01-08,76,"NEW","베짱이 찬가","써니힐","The Grasshoppers",28004,0,20120113
"26",80,2012,1,2012-01-08,81,"상승","말하지마 (Narr. 장지은)","FIX","말하지마",599,8,20120104
"27",85,2012,1,2012-01-08,86,"하락","사랑이 뭐길래","일 락","사랑이 뭐길래",509,-20,20120103
"28",89,2012,1,2012-01-08,90,"NEW","참고 살아 (be...)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",24789,0,20120104
"29",93,2012,1,2012-01-08,94,"NEW","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,0,20120112
"30",95,2012,1,2012-01-08,96,"NEW","그녀가 온다","카오스","그녀가 온다",300,0,20120106
"31",0,2012,1,2012-01-15,1,"상승","Lovey-Dovey","티아라","Funky Town",31452,1,20120103
"32",1,2012,1,2012-01-15,2,"상승","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,2,20120104
"33",2,2012,1,2012-01-15,3,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-2,20120107
"34",7,2012,1,2012-01-15,8,"상승","베짱이 찬가","써니힐","The Grasshoppers",28004,68,20120113
"35",13,2012,1,2012-01-15,14,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-6,20120107
"36",16,2012,1,2012-01-15,17,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-2,20120120
"37",19,2012,1,2012-01-15,20,"NEW","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,0,20120117
"38",20,2012,1,2012-01-15,21,"상승","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,53,20120112
"39",22,2012,1,2012-01-15,23,"NEW","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,0,20120119
"40",23,2012,1,2012-01-15,24,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-13,20120107
"41",25,2012,1,2012-01-15,26,"하락","너니까","이현","The Healing Echo",4960,-2,20120102
"42",27,2012,1,2012-01-15,28,"하락","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,-16,20120107
"43",31,2012,1,2012-01-15,32,"NEW","사랑시 고백구 행복동","제이세라","Love City",22233,0,20120112
"44",32,2012,1,2012-01-15,33,"하락","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,-16,20120107
"45",34,2012,1,2012-01-15,35,"상승","뉴스 (News)","나인뮤지스","NEWS",14267,24,20120111
"46",35,2012,1,2012-01-15,36,"하락","예쁜게 다니","살찐고양이","예쁜게 다니",7323,-5,20120106
"47",38,2012,1,2012-01-15,39,"하락","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,-20,20120107
"48",40,2012,1,2012-01-15,41,"NEW","Only U (Feat. 동해 Of 슈퍼주니어)","애즈원","Only U (Feat. 동해 Of 슈퍼주니어)",2275,0,20120116
"49",43,2012,1,2012-01-15,44,"상승","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,50,20120112
"50",49,2012,1,2012-01-15,50,"하락","마녀가 된 이유","NS 윤지","Neo Spirit",14553,-11,20120105
"51",50,2012,1,2012-01-15,51,"하락","사랑의 서약 (Feat. 다이나믹 듀오, 노라조)","노홍철","무한도전 나름 가수다",4616,-26,20120107
"52",56,2012,1,2012-01-15,57,"NEW","가지마","환희","빠담빠담 OST Part.3",3513,0,20120116
"53",70,2012,1,2012-01-15,71,"NEW","전부이니까","나윤권","총각네 야채가게 OST Part.2",1836,0,20120112
"54",72,2012,1,2012-01-15,73,"하락","사랑이 뭐길래 (Feat. Simon D)","피기돌스","사랑이 뭐길래",893,-30,20120109
"55",75,2012,1,2012-01-15,76,"NEW","이 사랑이 마지막이다","빅마마 소울","이 사랑이 마지막이다",249,0,20120113
"56",77,2012,1,2012-01-15,78,"하락","독하게","스피카","독하게",3051,-8,20120110
"57",79,2012,1,2012-01-15,80,"NEW","달빛이 지고","해오라","해를 품은 달 OST Part.1",7303,0,20120111
"58",86,2012,1,2012-01-15,87,"NEW","잊어요","영준 (브라운 아이드 소울)","Easy",4538,0,20120120
"59",88,2012,1,2012-01-15,89,"NEW","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,0,20120119
"60",90,2012,1,2012-01-15,91,"NEW","성냥팔이 소녀 (Feat. 미스티)","윤건","샐러리맨 초한지 OST Part.1",1608,0,20120102
"61",91,2012,1,2012-01-15,92,"하락","참고 살아 (be...)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",24789,-2,20120104
"62",92,2012,1,2012-01-15,93,"NEW","도망쳐","김연지","M/PROJECT Vol.1",2246,0,20120113
"63",94,2012,1,2012-01-15,95,"NEW","풍문으로 들었소","장기하와 얼굴들","범죄와의 전쟁: 나쁜놈들 전성시대 OST",28451,0,20120113
"64",97,2012,1,2012-01-15,98,"NEW","너에게로 간다","원티드","VINTAGE",12941,0,20120120
"65",0,2012,1,2012-01-22,1,"동일","Lovey-Dovey","티아라","Funky Town",31452,0,20120103
"66",1,2012,1,2012-01-22,2,"상승","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,18,20120117
"67",2,2012,1,2012-01-22,3,"상승","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,20,20120119
"68",4,2012,1,2012-01-22,5,"하락","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,-3,20120104
"69",7,2012,1,2012-01-22,8,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-5,20120107
"70",9,2012,1,2012-01-22,10,"하락","베짱이 찬가","써니힐","The Grasshoppers",28004,-2,20120113
"71",14,2012,1,2012-01-22,15,"상승","너에게로 간다","원티드","VINTAGE",12941,83,20120120
"72",15,2012,1,2012-01-22,16,"NEW","이럴 줄 알았어","비스트","이럴 줄 알았어",32706,0,20120126
"73",20,2012,1,2012-01-22,21,"상승","잊어요","영준 (브라운 아이드 소울)","Easy",4538,66,20120120
"74",22,2012,1,2012-01-22,23,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-9,20120107
"75",23,2012,1,2012-01-22,24,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-7,20120120
"76",26,2012,1,2012-01-22,27,"하락","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,-6,20120112
"77",27,2012,1,2012-01-22,28,"NEW","눈물길","휘성 (Realslow)","해를 품은 달 OST Part.3",7730,0,20120126
"78",29,2012,1,2012-01-22,30,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-6,20120107
"79",32,2012,1,2012-01-22,33,"하락","너니까","이현","The Healing Echo",4960,-7,20120102
"80",33,2012,1,2012-01-22,34,"NEW","내가 사랑한 너 너를 사랑한 나 (Duet 비비안)","태사비애","내가 사랑한 너 너를 사랑한 나",1395,0,20120120
"81",36,2012,1,2012-01-22,37,"하락","사랑시 고백구 행복동","제이세라","Love City",22233,-5,20120112
"82",37,2012,1,2012-01-22,38,"상승","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,51,20120119
"83",39,2012,1,2012-01-22,40,"하락","뉴스 (News)","나인뮤지스","NEWS",14267,-5,20120111
"84",42,2012,1,2012-01-22,43,"하락","예쁜게 다니","살찐고양이","예쁜게 다니",7323,-7,20120106
"85",43,2012,1,2012-01-22,44,"하락","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,-16,20120107
"86",44,2012,1,2012-01-22,45,"상승","마녀가 된 이유","NS 윤지","Neo Spirit",14553,5,20120105
"87",46,2012,1,2012-01-22,47,"하락","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,-3,20120112
"88",51,2012,1,2012-01-22,52,"상승","달빛이 지고","해오라","해를 품은 달 OST Part.1",7303,28,20120111
"89",52,2012,1,2012-01-22,53,"하락","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,-20,20120107
"90",53,2012,1,2012-01-22,54,"하락","Only U (Feat. 동해 Of 슈퍼주니어)","애즈원","Only U (Feat. 동해 Of 슈퍼주니어)",2275,-13,20120116
"91",55,2012,1,2012-01-22,56,"NEW","Lost (Feat. 정엽)","포이트리","사랑해, 희망없이",1237,0,20120125
"92",59,2012,1,2012-01-22,60,"하락","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,-21,20120107
"93",66,2012,1,2012-01-22,67,"하락","사랑의 서약 (Feat. 다이나믹 듀오, 노라조)","노홍철","무한도전 나름 가수다",4616,-16,20120107
"94",74,2012,1,2012-01-22,75,"하락","가지마","환희","빠담빠담 OST Part.3",3513,-18,20120116
"95",77,2012,1,2012-01-22,78,"NEW","WARRIOR","B.A.P","WARRIOR",12385,0,20120126
"96",85,2012,1,2012-01-22,86,"NEW","둘이서 (Feat. 김예림 Of 투개월)","M시그널","둘이서",985,0,20120119
"97",88,2012,1,2012-01-22,89,"상승","참고 살아 (be...)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",24789,3,20120104
"98",92,2012,1,2012-01-22,93,"하락","전부이니까","나윤권","총각네 야채가게 OST Part.2",1836,-22,20120112
"99",94,2012,1,2012-01-22,95,"NEW","Hit U","달샤벳","Hit U",8697,0,20120127
"100",96,2012,1,2012-01-22,97,"하락","이 사랑이 마지막이다","빅마마 소울","이 사랑이 마지막이다",249,-21,20120113
"101",97,2012,1,2012-01-22,98,"NEW","너 따위가 (Feat. 하하)","Esther","너 따위가",312,0,20120117
"102",98,2012,1,2012-01-22,99,"하락","독하게","스피카","독하게",3051,-21,20120110
"103",99,2012,1,2012-01-22,100,"NEW","나 이러고 살아 (With 박효신)","스컬","나 이러고 살아",4626,0,20120126
"104",0,2012,2,2012-01-29,1,"상승","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,1,20120117
"105",1,2012,2,2012-01-29,2,"하락","Lovey-Dovey","티아라","Funky Town",31452,-1,20120103
"106",2,2012,2,2012-01-29,3,"상승","이럴 줄 알았어","비스트","이럴 줄 알았어",32706,13,20120126
"107",3,2012,2,2012-01-29,4,"하락","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,-1,20120119
"108",5,2012,2,2012-01-29,6,"하락","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,-1,20120104
"109",6,2012,2,2012-01-29,7,"NEW","내가 싫다","케이윌","내가 싫다",14534,0,20120131
"110",9,2012,2,2012-01-29,10,"NEW","내가 노래를 못해도","SE7EN","Se7en New Mini Album",19078,0,20120201
"111",10,2012,2,2012-01-29,11,"하락","베짱이 찬가","써니힐","The Grasshoppers",28004,-1,20120113
"112",14,2012,2,2012-01-29,15,"상승","눈물길","휘성 (Realslow)","해를 품은 달 OST Part.3",7730,13,20120126
"113",15,2012,2,2012-01-29,16,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-8,20120107
"114",18,2012,2,2012-01-29,19,"상승","Hit U","달샤벳","Hit U",8697,76,20120127
"115",22,2012,2,2012-01-29,23,"하락","너에게로 간다","원티드","VINTAGE",12941,-8,20120120
"116",24,2012,2,2012-01-29,25,"NEW","Falling","박진영","드림하이2 OST Part.1",2137,0,20120131
"117",26,2012,2,2012-01-29,27,"NEW","지독하게","FTISLAND (FT아일랜드)","Grown-Up",37102,0,20120131
"118",30,2012,2,2012-01-29,31,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-8,20120107
"119",31,2012,2,2012-01-29,32,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-8,20120120
"120",32,2012,2,2012-01-29,33,"하락","잊어요","영준 (브라운 아이드 소울)","Easy",4538,-12,20120120
"121",34,2012,2,2012-01-29,35,"상승","사랑시 고백구 행복동","제이세라","Love City",22233,2,20120112
"122",35,2012,2,2012-01-29,36,"상승","예쁜게 다니","살찐고양이","예쁜게 다니",7323,7,20120106
"123",36,2012,2,2012-01-29,37,"하락","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,-10,20120112
"124",39,2012,2,2012-01-29,40,"NEW","DIRTY","미료","MIRYO aka JOHONEY",9405,0,20120201
"125",40,2012,2,2012-01-29,41,"하락","너니까","이현","The Healing Echo",4960,-8,20120102
"126",42,2012,2,2012-01-29,43,"하락","뉴스 (News)","나인뮤지스","NEWS",14267,-3,20120111
"127",46,2012,2,2012-01-29,47,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-17,20120107
"128",47,2012,2,2012-01-29,48,"상승","WARRIOR","B.A.P","WARRIOR",12385,30,20120126
"129",48,2012,2,2012-01-29,49,"상승","달빛이 지고","해오라","해를 품은 달 OST Part.1",7303,3,20120111
"130",49,2012,2,2012-01-29,50,"하락","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,-3,20120112
"131",52,2012,2,2012-01-29,53,"하락","마녀가 된 이유","NS 윤지","Neo Spirit",14553,-8,20120105
"132",53,2012,2,2012-01-29,54,"NEW","너 따윈 버리고 (Feat. 타이거 JK)","브라이언","ReBorn Part 1",4247,0,20120126
"133",54,2012,2,2012-01-29,55,"NEW","난리나","블락비 (Block B)","Welcome to the BLOCK",44374,0,20120202
"134",56,2012,2,2012-01-29,57,"NEW","너 없이 사는 것도","용준형","너 없이 사는 것도",14428,0,20120203
"135",58,2012,2,2012-01-29,59,"하락","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,-21,20120119
"136",63,2012,2,2012-01-29,64,"상승","나 이러고 살아 (With 박효신)","스컬","나 이러고 살아",4626,36,20120126
"137",64,2012,2,2012-01-29,65,"하락","내가 사랑한 너 너를 사랑한 나 (Duet 비비안)","태사비애","내가 사랑한 너 너를 사랑한 나",1395,-31,20120120
"138",67,2012,2,2012-01-29,68,"하락","Lost (Feat. 정엽)","포이트리","사랑해, 희망없이",1237,-12,20120125
"139",68,2012,2,2012-01-29,69,"하락","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,-25,20120107
"140",69,2012,2,2012-01-29,70,"NEW","사랑이 옳아요","김연지","빠담빠담 OST Part.4",1221,0,20120130
"141",72,2012,2,2012-01-29,73,"NEW","문자 (Feat. 백지영)","마리오","문자",7950,0,20120203
"142",73,2012,2,2012-01-29,74,"하락","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,-21,20120107
"143",75,2012,2,2012-01-29,76,"하락","Only U (Feat. 동해 Of 슈퍼주니어)","애즈원","Only U (Feat. 동해 Of 슈퍼주니어)",2275,-22,20120116
"144",78,2012,2,2012-01-29,79,"NEW","VIVA! (Feat. 이소라)","스윗소로우 (SWEET SORROW)","VIVA",3538,0,20120131
"145",81,2012,2,2012-01-29,82,"NEW","사랑해 그 거짓말 같은 (Feat. 태인)","나몰라패밀리JW","사랑해 그 거짓말 같은",1496,0,20120130
"146",82,2012,2,2012-01-29,83,"NEW","그래도 그대니까","별","난폭한 로맨스 OST Part.3",772,0,20120126
"147",90,2012,2,2012-01-29,91,"NEW","바보같이 살았죠","민","총각네 야채가게 OST Part.3",483,0,20120201
"148",91,2012,2,2012-01-29,92,"하락","가지마","환희","빠담빠담 OST Part.3",3513,-17,20120116
"149",93,2012,2,2012-01-29,94,"NEW","Classic","버벌진트","Classic",938,0,20120127
"150",94,2012,2,2012-01-29,95,"NEW","영원한 친구 (나미)","거미","[나는 가수다] 경연 15-1",464,0,20120129
"151",95,2012,2,2012-01-29,96,"NEW","Quiet Dream","박지윤","Quiet Dream",475,0,20120131
"152",96,2012,2,2012-01-29,97,"하락","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,-37,20120107
"153",0,2012,2,2012-02-05,1,"동일","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,0,20120117
"154",1,2012,2,2012-02-05,2,"상승","내가 노래를 못해도","SE7EN","Se7en New Mini Album",19078,8,20120201
"155",2,2012,2,2012-02-05,3,"하락","Lovey-Dovey","티아라","Funky Town",31452,-1,20120103
"156",3,2012,2,2012-02-05,4,"상승","지독하게","FTISLAND (FT아일랜드)","Grown-Up",37102,23,20120131
"157",4,2012,2,2012-02-05,5,"상승","내가 싫다","케이윌","내가 싫다",14534,2,20120131
"158",5,2012,2,2012-02-05,6,"하락","이럴 줄 알았어","비스트","이럴 줄 알았어",32706,-3,20120126
"159",7,2012,2,2012-02-05,8,"하락","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,-4,20120119
"160",8,2012,2,2012-02-05,9,"상승","베짱이 찬가","써니힐","The Grasshoppers",28004,2,20120113
"161",9,2012,2,2012-02-05,10,"NEW","생각날거야","다비치","LOVE CALL (With 다비치)",19781,0,20120207
"162",10,2012,2,2012-02-05,11,"하락","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,-5,20120104
"163",13,2012,2,2012-02-05,14,"상승","너 없이 사는 것도","용준형","너 없이 사는 것도",14428,43,20120203
"164",16,2012,2,2012-02-05,17,"상승","Hit U","달샤벳","Hit U",8697,2,20120127
"165",17,2012,2,2012-02-05,18,"하락","눈물길","휘성 (Realslow)","해를 품은 달 OST Part.3",7730,-3,20120126
"166",20,2012,2,2012-02-05,21,"상승","난리나","블락비 (Block B)","Welcome to the BLOCK",44374,34,20120202
"167",21,2012,2,2012-02-05,22,"상승","문자 (Feat. 백지영)","마리오","문자",7950,51,20120203
"168",22,2012,2,2012-02-05,23,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-7,20120107
"169",23,2012,2,2012-02-05,24,"상승","DIRTY","미료","MIRYO aka JOHONEY",9405,16,20120201
"170",30,2012,2,2012-02-05,31,"하락","Falling","박진영","드림하이2 OST Part.1",2137,-6,20120131
"171",34,2012,2,2012-02-05,35,"하락","너에게로 간다","원티드","VINTAGE",12941,-12,20120120
"172",38,2012,2,2012-02-05,39,"NEW","Know Your Name (Feat. Dok2)","박재범","New Breed",11094,0,20120207
"173",39,2012,2,2012-02-05,40,"하락","사랑시 고백구 행복동","제이세라","Love City",22233,-5,20120112
"174",41,2012,2,2012-02-05,42,"상승","뉴스 (News)","나인뮤지스","NEWS",14267,1,20120111
"175",43,2012,2,2012-02-05,44,"하락","예쁜게 다니","살찐고양이","예쁜게 다니",7323,-8,20120106
"176",44,2012,2,2012-02-05,45,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-13,20120120
"177",47,2012,2,2012-02-05,48,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-17,20120107
"178",49,2012,2,2012-02-05,50,"하락","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,-13,20120112
"179",50,2012,2,2012-02-05,51,"하락","달빛이 지고","해오라","해를 품은 달 OST Part.1",7303,-2,20120111
"180",52,2012,2,2012-02-05,53,"하락","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,-3,20120112
"181",53,2012,2,2012-02-05,54,"하락","너니까","이현","The Healing Echo",4960,-13,20120102
"182",54,2012,2,2012-02-05,55,"NEW","다른 누구도 아닌 너에게","장재인","다른 누구도 아닌 너에게",12858,0,20120208
"183",56,2012,2,2012-02-05,57,"하락","잊어요","영준 (브라운 아이드 소울)","Easy",4538,-24,20120120
"184",57,2012,2,2012-02-05,58,"NEW","Time Is Up","레드애플","Time Is Up",2333,0,20120203
"185",61,2012,2,2012-02-05,62,"하락","WARRIOR","B.A.P","WARRIOR",12385,-14,20120126
"186",62,2012,2,2012-02-05,63,"하락","마녀가 된 이유","NS 윤지","Neo Spirit",14553,-10,20120105
"187",64,2012,2,2012-02-05,65,"NEW","태양의 그림자","엠씨더맥스 (M.C the MAX)","한반도 OST Part.1",2640,0,20120206
"188",65,2012,2,2012-02-05,66,"NEW","그림자","먼데이 키즈 (Monday Kiz)","해를 품은 달 OST Part.4",3746,0,20120209
"189",66,2012,2,2012-02-05,67,"NEW","아니라는데 (With 이정)","서영은","아니라는데 (With 이정)",847,0,20120201
"190",67,2012,2,2012-02-05,68,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-21,20120107
"191",68,2012,2,2012-02-05,69,"하락","너 따윈 버리고 (Feat. 타이거 JK)","브라이언","ReBorn Part 1",4247,-15,20120126
"192",72,2012,2,2012-02-05,73,"NEW","오직 그대만","J.Lee","내일이 오면 OST Part.5",798,0,20120203
"193",76,2012,2,2012-02-05,77,"NEW","토닥토닥 (With 소향)","하하","토닥토닥",938,0,20120210
"194",77,2012,2,2012-02-05,78,"상승","바보같이 살았죠","민","총각네 야채가게 OST Part.3",483,13,20120201
"195",78,2012,2,2012-02-05,79,"NEW","러시안룰렛 (Russian Roulette)","스피카","러시안룰렛 (Russian Roulette)",13375,0,20120208
"196",82,2012,2,2012-02-05,83,"하락","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,-24,20120119
"197",85,2012,2,2012-02-05,86,"하락","내가 사랑한 너 너를 사랑한 나 (Duet 비비안)","태사비애","내가 사랑한 너 너를 사랑한 나",1395,-21,20120120
"198",86,2012,2,2012-02-05,87,"NEW","하지 못했던 이야기","김경호","하지 못했던 이야기",1633,0,20120207
"199",88,2012,2,2012-02-05,89,"하락","사랑해 그 거짓말 같은 (Feat. 태인)","나몰라패밀리JW","사랑해 그 거짓말 같은",1496,-7,20120130
"200",91,2012,2,2012-02-05,92,"하락","VIVA! (Feat. 이소라)","스윗소로우 (SWEET SORROW)","VIVA",3538,-13,20120131
"201",92,2012,2,2012-02-05,93,"하락","나 이러고 살아 (With 박효신)","스컬","나 이러고 살아",4626,-29,20120126
"202",95,2012,2,2012-02-05,96,"NEW","The Romantic","투개월","The Romantic OST Part.1",11961,0,20120210
"203",96,2012,2,2012-02-05,97,"하락","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,-29,20120107
"204",97,2012,2,2012-02-05,98,"하락","사랑이 옳아요","김연지","빠담빠담 OST Part.4",1221,-29,20120130
"205",0,2012,2,2012-02-12,1,"동일","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,0,20120117
"206",1,2012,2,2012-02-12,2,"상승","생각날거야","다비치","LOVE CALL (With 다비치)",19781,8,20120207
"207",2,2012,2,2012-02-12,3,"상승","지독하게","FTISLAND (FT아일랜드)","Grown-Up",37102,1,20120131
"208",3,2012,2,2012-02-12,4,"하락","Lovey-Dovey","티아라","Funky Town",31452,-1,20120103
"209",4,2012,2,2012-02-12,5,"하락","내가 노래를 못해도","SE7EN","Se7en New Mini Album",19078,-3,20120201
"210",5,2012,2,2012-02-12,6,"하락","내가 싫다","케이윌","내가 싫다",14534,-1,20120131
"211",7,2012,2,2012-02-12,8,"하락","이럴 줄 알았어","비스트","이럴 줄 알았어",32706,-2,20120126
"212",8,2012,2,2012-02-12,9,"동일","베짱이 찬가","써니힐","The Grasshoppers",28004,0,20120113
"213",9,2012,2,2012-02-12,10,"하락","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,-2,20120119
"214",10,2012,2,2012-02-12,11,"NEW","니가 필요해 (I Need You)","케이윌","니가 필요해 (I Need You)",49436,0,20120214
"215",12,2012,2,2012-02-12,13,"하락","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,-2,20120104
"216",16,2012,2,2012-02-12,17,"동일","Hit U","달샤벳","Hit U",8697,0,20120127
"217",17,2012,2,2012-02-12,18,"상승","난리나","블락비 (Block B)","Welcome to the BLOCK",44374,3,20120202
"218",22,2012,2,2012-02-12,23,"하락","눈물길","휘성 (Realslow)","해를 품은 달 OST Part.3",7730,-5,20120126
"219",24,2012,2,2012-02-12,25,"하락","너 없이 사는 것도","용준형","너 없이 사는 것도",14428,-11,20120203
"220",26,2012,2,2012-02-12,27,"하락","DIRTY","미료","MIRYO aka JOHONEY",9405,-3,20120201
"221",27,2012,2,2012-02-12,28,"하락","문자 (Feat. 백지영)","마리오","문자",7950,-6,20120203
"222",28,2012,2,2012-02-12,29,"상승","그림자","먼데이 키즈 (Monday Kiz)","해를 품은 달 OST Part.4",3746,37,20120209
"223",31,2012,2,2012-02-12,32,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-9,20120107
"224",33,2012,2,2012-02-12,34,"상승","토닥토닥 (With 소향)","하하","토닥토닥",938,43,20120210
"225",36,2012,2,2012-02-12,37,"상승","The Romantic","투개월","The Romantic OST Part.1",11961,60,20120210
"226",37,2012,2,2012-02-12,38,"상승","다른 누구도 아닌 너에게","장재인","다른 누구도 아닌 너에게",12858,17,20120208
