"","title","singer","pc","hc"
"584","겁 (Feat. 태양)","MINO (송민호)",2,3
"585","겁나 (Feat. 매드클라운)","멜로디데이 (MelodyDay)",4,2
"586","겁도 없이","서인국",5,2
"587","겨울사랑","The One (더원)",2,1
"588","겨울소리","박효신",2,2
"589","격정적인 열애설 (Feat. The Channels)","MC몽",5,2
"590","견딜만해 (Feat. 효린 Of 씨스타)","매드클라운",1,1
"591","결국 (Feat. 로제 of BLACKPINK)","G-DRAGON",5,2
"592","결혼","문문 (MoonMoon)",4,1
"593","겸손은 힘들어","리쌍",5,2
"594","고고베베 (gogobebe)","마마무 (Mamamoo)",2,1
"595","고래","AKMU (악동뮤지션)",4,2
"596","고마워 고마워","라디 (Ra. D)",5,2
"597","고마워 내사랑","홍대광",4,2
"598","고백","김동률",5,2
"599","고백","양다일",2,3
"600","고백했는데","Bro",5,2
"601","고장난 선풍기 (Feat. 개리, 효린 Of 씨스타)","MC몽",2,2
"602","고쳐주세요","볼빨간사춘기",5,2
"603","골목길 어귀에서","버스커 버스커",5,2
"604","곰인형 (Feat. 해금)","린",1,1
"605","공감 (Feat. 서영은)","정준영",4,3
"606","공드리","혁오 (HYUKOH)",4,2
"607","공허해","WINNER",2,3
"608","광대 (Feat. 김범수)","박명수",5,2
"609","괜찮겠니","비스트",1,2
"610","괜찮냐고","헤이즈 (Heize)",5,2
"611","괜찮다","윤하 (YOUNHA)",5,2
"612","괜찮다가도","엠씨더맥스 (M.C the MAX)",4,2
"613","괜찮아 사랑이야","다비치",2,1
"614","괜찮아요","비투비",5,2
"615","교통정리 (Feat. 헤이즈)","기리보이",1,1
"616","구르미 그린 달빛","거미",2,1
"617","굿모닝 (Feat. 권정열 Of 10cm)","버벌진트",1,1
"618","굿모닝 (Good Morning)","케이시 (Kassy)",4,2
"619","굿바이 (With 소유 Of 씨스타)","홍대광",5,2
"620","굿바이데이","울랄라세션",5,1
"621","권태중독 (Feat. 선우정아)","MC몽",5,2
"622","귀여워 (With 권정열 Of 10cm)","별",1,1
"623","귀요미송","하리",5,2
"624","그 끝에 그대","청하",5,2
"625","그 남잔 말야","엠씨더맥스 (M.C the MAX)",3,3
"626","그 놈 때문에","엠투엠 (M To M)",4,2
"627","그 다음해","박정현",5,2
"628","그 뻔한 말","정인",5,2
"629","그 사람","아이유",1,2
"630","그 사람을 아나요","임창정",1,1
"631","그 애 (愛)","정엽",4,2
"632","그 애 참 싫다","아이유",4,2
"633","그게 나야","김동률",2,1
"634","그날을 내 등 뒤로","허각",5,2
"635","그날처럼","장덕철",3,3
"636","그냥 조금","어반자카파",5,2
"637","그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡)","장범준",5,2
"638","그녀가 말했다 (With 권진아)","토이",5,2
"639","그대 고운 내사랑","어반자카파",3,1
"640","그대 그대 그대","엠씨더맥스 (M.C the MAX)",5,2
"641","그대 입술이 (With 채지연 - 풋풋)","버스커 버스커",1,2
"642","그대 한 사람","김수현",1,2
"643","그대, 바람이 되어","엠씨더맥스 (M.C the MAX)",5,1
"644","그대가 나를 본다면","반하나",4,2
"645","그대가 분다","엠씨더맥스 (M.C the MAX)",2,1
"646","그대가 올까요","지아",5,2
"647","그대가 잠든 사이","제아",5,2
"648","그대라구요","정은지",5,2
"649","그대라는 세상","윤미래",5,2
"650","그대라는 시","태연 (TAEYEON)",2,3
"651","그대로 있어도 돼 (Feat. Crush)","Supreme Team",1,2
"652","그대를 잊는다는 건","다비치",5,1
"653","그대만 보여서","김나영",4,2
"654","그대여","먼데이 키즈 (Monday Kiz)",4,2
"655","그대와 함께","B1A4",4,2
"656","그댄 행복에 살텐데","김범수",5,1
"657","그댈 마주하는건 힘들어 (그마힘)","버스커 버스커",2,1
"658","그때 그 아이들은","AKMU (악동뮤지션)",4,2
"659","그때 그 아인","김필",3,3
"660","그때 우리","엠씨더맥스 (M.C the MAX)",2,1
"661","그때 헤어지면 돼","로이킴",2,3
"662","그때가 좋았어","케이시 (Kassy)",3,3
"663","그때로 가고싶다","김보경 (NEON)",4,2
"664","그때의 나, 그때의 우리","어반자카파",2,1
"665","그래, 우리 함께","무한도전",5,2
"666","그래도 사랑해","수지 (SUZY)",5,2
"667","그러고도 남자야 (Feat. 쇼리 Of 마이티마우스)","가비엔제이",5,2
"668","그러나","10CM",2,1
"669","그런 남자","Bro",1,1
"670","그런 너 (Disturbance)","보아 (BoA)",1,2
"671","그런 밤","어반자카파",5,2
"672","그런 줄 알았어","지아",1,2
"673","그럴걸","김나영",4,2
"674","그렇게 당해놓고 (Feat. 마부스 Of 일렉트로보이즈)","임창정",5,2
"675","그렇게 됐어","플라이 투 더 스카이",1,2
"676","그리고 안녕","이승기",2,2
"677","그리고 하나","태연 (TAEYEON)",2,1
"678","그리고, 남겨진 것들","넬 (NELL)",5,2
"679","그리워 그리워하다","포스트맨(Postmen)",4,2
"680","그리워 말아요","나비",5,2
"681","그리워 운다","신보라",5,2
"682","그리워라","10CM",5,2
"683","그리워요 (Girlfriend)","헨리 (HENRY)",4,2
"684","그리워하다","비투비",2,3
"685","그리워해요","2NE1",2,1
"686","그림자","먼데이 키즈 (Monday Kiz)",4,2
"687","그림자","휘인 (Whee In)",4,2
"688","그모습 그대로","장범준",4,2
"689","글루 (Glue)","나인뮤지스",4,2
"690","금요일에 만나요 (Feat. 장이정 Of HISTORY)","아이유",2,3
"691","기다려주세요","버스커 버스커",5,2
"692","기대해","걸스데이",2,1
"693","기대해도 좋은 날","마마무 (Mamamoo)",4,2
"694","기도","윤하 (YOUNHA)",4,2
"695","기억리듬","나얼",5,2
"696","기억속의 먼 그대에게","희진 (GOOD DAY)",4,2
"697","기억을 걷는 밤 (Walk On Memories)","EXO",4,2
"698","기억을 걷다보면","디셈버",1,2
"699","기억의 빈자리","나얼",2,1
"700","기억해줘요 내 모든 날과 그때를","거미",2,3
"701","기적 (ETERNITY)","VIXX (빅스)",4,2
"702","긴 생머리 그녀 (Miss Right)","틴탑",1,1
"703","길 (Song by 아이유, 헨리, 조현아, 양다일)","god",4,2
"704","길이나","AKMU (악동뮤지션)",5,2
"705","깊은밤 슬픈노래","DK",4,2
"706","까탈레나 (Catallena)","오렌지 캬라멜",2,1
"707","깡","비",4,2
"708","꺼내 먹어요","Zion.T",2,3
"709","꼭 어제","XIA (준수)",5,2
"710","꼭 한번 만나고 싶다","바이브",2,1
"711","꽃","아이유",4,2
"712","꽃 (Feat. 타블로 Of 에픽하이)","XIA (준수)",5,2
"713","꽃 (Flower)","첸 (CHEN)",4,2
"714","꽃 길","BIGBANG",2,1
"715","꽃송이가","버스커 버스커",1,1
"716","꽃이 핀다","케이윌",1,1
"717","꽐라","BOBBY",5,2
"718","꾸리스마스","크레용팝",5,2
"719","꿀잼","다이나믹 듀오",1,2
"720","꿈속에 너 (Feat. 전상근)","에이치코드 (H:CODE)",4,3
"721","꿈에서라도","지아",5,2
"722","꿈처럼","벤",2,1
"723","꿈처럼 내린","다비치",5,1
"724","끄덕끄덕","남우현",5,2
"725","끊어줄래 (Feat. San E, 태완)","한해",4,2
"726","끝","권진아",4,1
"727","끼부리지마","WINNER",5,3
"728","나","박원",1,2
"729","나 군대 간다","이승기",5,2
"730","나 어떡해","티아라",4,2
"731","나 왜이래 (Feat. 강민희 Of 미스에스)","San E",2,1
"732","나는 달라 (Feat. BOBBY)","HI SUHYUN",2,1
"733","나는 볼 수 없던 이야기","잔나비",4,2
"734","나도 여자예요","민아 (걸스데이)",5,2
"735","나도 여자인데 (A Girl In Love)","씨스타19",5,2
"736","나들이 갈까","볼빨간사춘기",5,2
"737","나란놈이란","임창정",1,1
"738","나로 말할 것 같으면 (Yes I am)","마마무 (Mamamoo)",2,1
"739","나를 불러","나윤권",5,2
"740","나를 사랑해줘 (Feat. 개코 Of 다이나믹 듀오)","서인영",5,2
"741","나를 사랑했던 사람아","허각",2,1
"742","나를 슬프게 하는 사람들 (노래왕 퉁키)","J.Lee",4,2
"743","나를 잊지말아요","수지 (SUZY)",5,2
"744","나만 아픈 일","이해리 (다비치)",4,2
"745","나만 안되는 연애","볼빨간사춘기",3,3
"746","나만, 봄","볼빨간사춘기",2,1
"747","나보다 더","장동건",4,2
"748","나비효과 (Butterfly Effect)","EXO",4,2
"749","나빠","별",5,2
"750","나빠(NAPPA)","Crush",2,2
"751","나쁜 기집애","CL",5,2
"752","나쁜X (BAD YEAR)","San E",2,2
"753","나쁜놈 (Feat. 소야)","마이티 마우스",1,1
"754","나쁜손 (Feat. 버벌진트) (Naughty Hands)","씨스타",1,2
"755","나쁜여자","레이디스 코드",4,2
"756","나성에 가면","심은경",4,2
"757","나야 나 (PICK ME)","PRODUCE 101",4,1
"758","나에게 넌","다비치",5,2
"759","나의 밤 나의 너","성시경",5,2
"760","나의 사춘기에게","볼빨간사춘기",2,1
"761","나의 어깨에 기대어요","10CM",1,1
"762","나의 옛날이야기","아이유",2,1
"763","나의 오랜 연인에게","다비치",2,1
"764","나타나줘 (Feat. 박재범)","로꼬",4,2
"765","나팔바지","싸이 (PSY)",2,1
"766","나혼자 (Alone)","씨스타",2,1
"767","낙엽 엔딩","장범준",5,2
"768","난리나","블락비 (Block B)",1,1
"769","날 (Feat. JTONG)","지코 (ZICO)",1,2
"770","날 보러 와요 (Come See Me)","AOA",4,2
"771","날 위한 이별","디아",5,2
"772","날개뼈 (Hot Wings) (Feat. 효린 Of Sistar)","다이나믹 듀오",5,1
"773","날라리 (LALALAY)","선미",1,2
"774","남아있어 (Feat. Crush)","로꼬",2,1
"775","남자 없이 잘 살아","미쓰에이",2,1
"776","남자가 다 그렇지 뭐","김종국",5,2
"777","남자도 슬프다 (Feat. 마이티 마우스)","김종국",5,2
"778","남자도 우나요","다비치",2,1
"779","낮과 밤","거미",5,1
"780","낮보다는 밤","EXID",4,2
"781","내 눈에만 보여","10CM",5,1
"782","내 다리를 봐 (Be Ambitious)","달샤벳",5,2
"783","내 마음 들리나요 (Feat. 이하이)","에픽하이 (EPIK HIGH)",4,2
"784","내 마음의 사진","송가인",4,2
"785","내 맘은 죽어가요 (Feat. Speed)","더 씨야",5,2
"786","내 맘을 볼 수 있나요","헤이즈 (Heize)",2,1
"787","내 목소리 들리니","벤",2,1
"788","내 사람","김동률",1,2
"789","내 사람","박보검",1,2
"790","내 생각날 거야 (Narr. 이시영)","거미",5,2
"791","내 생애 가장 행복한 시간 (Feat. 허각)","MC몽",2,1
"792","내 생애 가장 행복한 시간 Part.2 (Feat. 양다일)","MC몽",5,2
"793","내 생에 아름다운","케이윌",2,3
"794","내 안부","이우",4,1
"795","내 옆에 그대인 걸","다비치",2,1
"796","내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태)","에디킴",1,1
"797","내가 그리웠니 (Feat. 진실 Of Mad Soul Child)","MC몽",2,1
"798","내가 나를 봐도 슬퍼..","김태우",5,2
"799","내가 노래를 못해도","SE7EN",2,1
"800","내가 더 나빠","헤이즈 (Heize)",1,2
"801","내가 많이 사랑해요","이승철",4,2
"802","내가 먼저 (Feat. 은지원)","길미",5,2
"803","내가 미쳐 (Going Crazy)","EXO",4,2
"804","내가 설렐 수 있게","Apink (에이핑크)",5,2
"805","내가 싫다","케이윌",2,2
"806","내가 아니야","비스트",4,2
"807","내가 할 수 없는 말 (Feat. 나비)","정키",2,2
"808","내게 남은 세가지","백아연",5,2
"809","내게 들려주고 싶은 말 (Dear Me)","태연 (TAEYEON)",5,2
"810","내게 와줘서","케이윌",4,2
"811","내게기대 (Feat. 박세영)","스탠딩 에그",4,2
"812","내일 만나 (Sweet Dreams!)","EXO-CBX (첸백시)",4,2
"813","내일은 없어","트러블메이커",2,1
"814","너 그렇게 살지마","럼블피쉬",5,2
"815","너 때문에","제아",5,2
"816","너 때문에 (Feat. 성훈 Of 브라운아이드소울)","UV",5,2
"817","너 땜에 못살아 (Feat. 버벌진트)","서인국",2,1
"818","너 밖에 몰라 (One Way Love)","효린",2,1
"819","너 사용법","에디킴",3,3
"820","너 아님 안돼","2NE1",2,1
"821","너 없는 시간들","다비치",4,1
"822","너 없이 사는 것도","용준형",5,2
"823","너 없인 안 된다","비투비",2,3
"824","너 하나만","김태우",5,2
"825","너 하나야","포맨",1,1
"826","너나 해 (Egotistic)","마마무 (Mamamoo)",2,1
"827","너는 나 나는 너","지코 (ZICO)",2,3
"828","너는 나를 (Feat. 조현아 Of 어반자카파)","김진표",4,2
"829","너는 사랑이다","서인영",4,2
"830","너는 어땠을까","노을",1,3
"831","너니까","이현",5,2
"832","너도 (Feat. Cha Cha Malone)","로꼬",1,1
"833","너도 그냥 날 놓아주면 돼","윤건",3,1
"834","너라는 명작","휘성 (Realslow)",5,2
"835","너라는 시간이 흐른다","XIA (준수)",4,2
"836","너라서","다비치",4,2
"837","너라서 (Special Track)","공유",4,2
"838","너란 봄 (Feat. 하림)","정은지",1,2
"839","너를","브라운 아이드 소울",1,1
"840","너를 너를 너를","플라이 투 더 스카이",2,1
"841","너를 만나","폴킴",1,3
"842","너를 사랑하고 있어","백현 (BAEKHYUN)",1,3
"843","너를 사랑한 시간","정승환",4,2
"844","너를 사랑해","윤미래",2,1
"845","너를 원해 (Feat. Beenzino)","정기고",2,1
"846","너를 위해 (임재범)","이하이",4,2
"847","너만 너만 너만","양다일",5,2
"848","너만이 (Feat. 헤이즈)","유승우",4,2
"849","너무 보고싶어","어쿠스틱 콜라보",1,3
"850","너무너무너무","아이오아이 (I.O.I)",2,1
"851","너에게","성시경",2,1
"852","너에게 (Original Ver.)","김그림",4,2
"853","너에게 가는 이 길 위에서 (너.이.길)","백현 (BAEKHYUN)",4,1
"854","너에게 못했던 내 마지막 말은","다비치",2,3
"855","너에게 배운다 (My Love)","리쌍",1,2
"856","너에게로 간다","원티드",5,2
"857","너에겐 들리지 않는 그 말","신승훈",4,2
"858","너였나봐","아이비",5,2
"859","너였다면","정승환",1,3
"860","너와 나","유승우",5,2
"861","너와 나","홍대광",4,2
"862","너의 모든 순간","성시경",1,1
"863","너의 번호를 누르고 (Prod. 영화처럼)","#안녕",4,1
"864","너의 손짓 (Touch It)","EXO",4,2
"865","너의 얘길 들어줄게","윤미래",5,2
"866","너의 의미 (Feat. 김창완)","아이유",1,3
"867","너의 이름을","Wanna One (워너원)",4,2
"868","너의 집 앞","김수현",2,2
"869","너의 하루는 좀 어때","거미",4,2
"870","넋두리","닐로(Nilo)",5,3
"871","넌 is 뭔들","마마무 (Mamamoo)",1,1
"872","넌 나의 집","포맨",1,2
"873","넌 내꺼라는걸 (Feat. 스윙스)","허각",1,2
"874","넌 너무 야해 (Feat. 긱스) (The Way You Make Me Melt)","씨스타",2,1
"875","널 너무 모르고","헤이즈 (Heize)",2,1
"876","널 너무 사랑해서 (Feat. 정은지 of 에이핑크)","MC몽",1,1
"877","널 사랑하겠어","효린",1,1
"878","널 사랑하지 않아","어반자카파",2,3
"879","널 안지 않을 수 있어야지","첸 (CHEN)",4,2
"880","넘버나인 (No.9)","티아라",1,1
"881","넘어와 (Feat. 백예린)","DEAN",5,1
"882","넘쳐흘러","엠씨더맥스 (M.C the MAX)",2,3
"883","네 생각","존박",3,1
"884","네게 줄 수 있는건 오직 사랑뿐","디셈버",5,1
"885","네온사인","버스커 버스커",5,2
"886","노래","Zion.T",2,1
"887","노래 불러줘요 (Feat. 아이유)","god",4,2
"888","노래방에서","장범준",2,3
"889","노력","박원",3,3
"890","노스텔지아 (Feat. 에릭)","가인",5,2
"891","노을","다비치",4,1
"892","녹는 중 (Feat. 버벌진트)","다비치",1,1
"893","놀만큼 놀아봤어 (Had Enough Parties)","박진영",5,2
"894","누구 없소 (NO ONE) (Feat. B.I of iKON)","이하이",2,1
"895","누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)","아이유",1,2
"896","누군가 필요해 (Feat. BrotherSu)","라디 (Ra. D)",5,2
"897","누아르 (Noir)","선미",1,2
"898","눈 (Feat. 이문세)","Zion.T",2,1
"899","눈 떠보니 이별이더라","포맨",1,3
"900","눈, 코, 입","태양",2,3
"901","눈꽃","거미",2,1
"902","눈물 (Feat. 유진 Of 더 씨야)","리쌍",2,1
"903","눈물길","휘성 (Realslow)",5,2
"904","눈물샤워 (Feat. 에일리)","배치기",2,1
"905","눈물이 주르륵","손담비",5,2
"906","눈물이 툭 (Feat. 박경 Of 블락비)","지아",5,2
"907","눈물이 한방울","윤하 (YOUNHA)",5,2
"908","눈사람","정승환",2,1
"909","뉴스 (News)","나인뮤지스",5,2
"910","느껴 (My Everything)","범키",1,2
"911","늑대와 미녀 (Wolf)","EXO",4,2
"912","늦은 밤 너의 집 앞 골목길에서","노을",2,3
"913","늦은 얘기들","노을",4,2
"914","니 소식","송하예",3,3
"915","니 얼굴 떠올라 (Feat. 스윙스)","별",5,2
"916","니가 보고 싶어지면","비스트",4,2
"917","니가 싫어","어반자카파",2,1
"918","니가 아니었기를 (Narr. 버벌진트)","미스에스",4,2
"919","니가 없을 때 (Feat. Zion.T)","인피니트H",4,2
"920","니가 왜 거기서 나와 (Narr. 고은아)","영탁",4,2
"921","니가 있어야 할 곳","KATIE",5,2
"922","니가 처음이야 (Feat. 기리보이)","장현승",4,2
"923","니가 필요해 (I Need You)","케이윌",1,1
"924","니가 하면 로맨스 (Feat. 다비치)","케이윌",2,1
"925","니목소리","플라이 투 더 스카이",5,2
"926","닐리리맘보","블락비 (Block B)",2,1
"927","다 쓰고 없다","울랄라세션",5,2
"928","다 잊었니","2BIC(투빅)",5,2
"929","다른 남자 말고 너","미쓰에이",2,1
"930","다른 누구도 아닌 너에게","장재인",4,2
"931","다른 사람 품에 안겨서 (Someone Else) (Duet With 가인)","박진영",2,2
"932","다른사람을 사랑하고 있어","수지 (SUZY)",2,1
"933","다시 (Feat. 유재석)","터보",1,2
"934","다시 만나는 날 (Goodbye for now)","규현 (KYUHYUN)",4,2
"935","다시 만날까 봐","V.O.S",5,3
"936","다시는 사랑하지 않고, 이별에 아파하기 싫어","백지영",2,1
"937","다이너마이트","VIXX (빅스)",4,2
"938","다이아몬드 (Diamond)","EXO",4,2
"939","다정하게, 안녕히","성시경",1,1
"940","다쳐 (Hurt Locker)","나인뮤지스",4,2
"941","단, 하루 (Feat. 배치기)","2BIC(투빅)",5,2
"942","단발머리 (Short Hair)","AOA",1,1
"943","달","AKMU (악동뮤지션)",5,2
"944","달빛이 지고","해오라",4,2
"945","달콤한 빈말 (Feat. 바버렛츠)","백아연",5,2
"946","답이 없었어","홍대광",5,1
"947","답장","김동률",2,1
"948","당신과는 천천히","장범준",2,1
"949","당신의 밤 (Feat. 오혁)","황광희 X 개코",2,1
"950","대.다.나.다.너","VIXX (빅스)",5,2
"951","대박사건 (Crash)","B.A.P",5,2
"952","대충 입고 나와","우디 (Woody)",1,1
"953","더 가까이","효린",4,2
"954","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석",5,2
"955","덜덜덜","EXID",5,1
"956","덤앤더머 (DUMB & DUMBER)","iKON",5,1
"957","도망가자 (Feat. 린)","MC몽",2,1
"958","도망가지마","모트 (Motte)",4,2
"959","독 (Feat. E-Sens Of 슈프림팀)","프라이머리",5,2
"960","독기","아이언",1,1
"961","독도리 (Feat. 매드클라운)","박명수 X 딘딘",5,2
"962","돈 Call Me (Prod.BRLLNT)","염따",5,1
"963","돌덩이","하현우 (국카스텐)",3,1
"964","돌스 (Dolls)","나인뮤지스",5,2
"965","돌아보다","민경훈",4,2
"966","돌아오지마 (Feat. 용준형 Of 비스트)","헤이즈 (Heize)",3,3
"967","동행","김동률",5,2
"968","동화","멜로망스",2,1
"969","동화 (feat. 아이유)","김동률",1,2
"970","되돌리다","이승기",2,1
"971","두 마리","배치기",1,1
"972","두 뺨에 닿기 전에","별",5,2
"973","두근거려 (Beautiful)","백현 (BAEKHYUN)",5,2
"974","두근두근","벤",4,2
"975","두눈에. 두볼에. 가슴에 (In My Eyes)","김연지",4,2
"976","두사랑 (Feat. 매드클라운)","다비치",2,1
"977","둘 중에 하나 (Runaway)","카라",4,2
"978","둘 하나 둘","어반자카파",4,2
"979","둘! 셋! (그래도 좋은 날이 더 많기를)","방탄소년단",4,2
"980","둘만의 세상으로 가","Crush",2,1
"981","둘이서 한잔해","다비치",2,2
"982","드라마 (DRAMA)","나인뮤지스",5,2
"983","떠나간다","노을",1,2
"984","떨어지는 낙엽까지도","헤이즈 (Heize)",1,2
"985","떨어진다 눈물이","왁스",4,2
"986","또 (Feat. Tiger JK, Bizzy, 마샬(MRSHLL))","우원재",5,2
"987","또 다시 사랑","임창정",2,3
"988","또 싸워 (Feat. 윤하)","에픽하이 (EPIK HIGH)",5,2
"989","또 운다","문명진",5,2
"990","또 운다 또","다비치",2,1
"991","또 하루 (Feat. 개코)","개리",2,1
"992","똑같은 사랑 똑같은 이별","어반자카파",1,1
"993","뚜두뚜두 (DDU-DU DDU-DU)","BLACKPINK",2,3
"994","뛰뛰빵빵","비투비",4,2
"995","뜨거운 여름밤은 가고 남은 건 볼품없지만","잔나비",1,1
"996","뜨래요 (Feat. 앙리 Of 3B)","배치기",1,1
"997","뜸","WINNER",5,2
"998","라면인건가","AKMU (악동뮤지션)",1,1
"999","라비앙로즈 (La Vie en Rose)","IZ*ONE (아이즈원)",1,1
"1000","러브 레시피","클래지콰이",5,2
"1001","러브스토리 (Feat. 크러쉬)","SURAN (수란)",5,2
"1002","러시안 룰렛 (Russian Roulette)","Red Velvet (레드벨벳)",2,3
"1003","러시안룰렛 (Russian Roulette)","스피카",4,2
"1004","레시피","브라운아이드걸스",2,2
"1005","레옹","이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",2,1
"1006","룩앳미 (Look At Me)","쥬얼리",4,2
"1007","리듬 타 (RHYTHM TA)","iKON",1,1
"1008","리본 (Ribbon)","비스트",2,1
"1009","리얼리티","AKMU (악동뮤지션)",4,2
"1010","립스틱 (LIPSTICK)","오렌지 캬라멜",2,1
"1011","링가 링가 (RINGA LINGA)","태양",2,1
"1012","마네퀸 (Feat. Beenzino, 수란)","프라이머리",5,2
"1013","마녀가 된 이유","NS 윤지",4,2
"1014","마리오네트","스텔라",4,2
"1015","마음","아이유",2,1
"1016","마음 단단히 먹어 (Feat. 에일리)","MC몽",2,2
"1017","마음으로만","박정현",5,2
"1018","마음을 드려요","아이유",2,3
"1019","마음을 삼킨다","산들",4,2
"1020","마음이 말하는 행복 (Happiness) (Feat.이라온)","마크툽 (MAKTUB)",5,1
"1021","마지막 그 한마디","이승기",5,2
"1022","마지막 장면 (Feat. 이성경)","싸이 (PSY)",5,2
"1023","마지막으로 안아도 될까","허각",4,2
"1024","마지막처럼","BLACKPINK",2,3
"1025","마치 비행기 (Feat. 개리)","San E",5,2
"1026","마치 우린 없었던 사이 (Prod. 정키)","다비치",4,2
"1027","마침표","아이유",4,2
"1028","막걸리 한잔","영탁",4,2
"1029","만세","양세형 X BewhY",5,2
"1030","만약에 말야 (전우성 Solo)","노을",5,1
"1031","만약에 말야 (화생방실 클레오파트라) (Bonus Track)","김연우",4,2
"1032","만인의 연인 (Feat. 하림)","써니힐",1,2
"1033","말리꽃","유성은",4,2
"1034","말만해 (What You Want) (Feat. 김성규)","칸토",4,2
"1035","말이야","이홍기 (FT아일랜드)",4,2
"1036","말해 Yes Or No (Feat. PENOMECO, The Quiett)","지코 (ZICO)",3,1
"1037","말해! 뭐해?","케이윌",2,1
"1038","맘도둑","강승윤",5,2
"1039","맙소사","황태지 (황광희, 태양, 지드래곤)",1,1
"1040","맞지?","언니쓰",1,1
"1041","매일 그대와","소진 (Sojin)",5,2
"1042","매일 그대와","아이유",5,2
"1043","매일 듣는 노래 (A Daily Song)","황치열",2,3
"1044","매일 매일 기다려 (우리 동네 음악대장)","하현우 (국카스텐)",4,2
"1045","매일 이별","김연지",4,2
"1046","매일밤","EXID",4,2
"1047","매트리스","10CM",2,1
"1048","맥주 두 잔","키썸 (Kisum)",5,2
"1049","맨정신","BIGBANG",2,1
"1050","먹구름 (Feat. nafla)","헤이즈 (Heize)",5,2
"1051","먹지","예성 (YESUNG)",5,2
"1052","멀리서 안부","윤하 (YOUNHA)",4,2
"1053","멀어질까봐","C-CLOWN",4,2
"1054","멋지게 인사하는 법 (Feat. 슬기 of Red Velvet)","Zion.T",2,1
"1055","멋진헛간","오대천왕 (정형돈, 밴드 혁오)",2,2
"1056","멍청이(twit)","화사 (Hwa Sa)",2,1
"1057","메뚜기월드","유재석",5,2
"1058","메트로놈 (Metronome) (Feat. Simon Dominic & Gray)","박재범",4,2
"1059","멘붕 (CL Solo)","2NE1",5,1
"1060","명수네 떡볶이 (Feat. 김예림, UL)","박명수",2,2
"1061","몇 년 후에","블락비 (Block B)",5,2
"1062","모노드라마 (With 유승우)","허각",2,1
"1063","모래시계 (Prod. 헤이즈)","Wanna One (워너원) - 더힐",1,1
"1064","모르나요","김종국",5,2
"1065","모르시나요","다비치",1,1
"1066","모해 (mohae) (Feat. 볼빨간사춘기)","San E",2,2
"1067","목소리","노을",2,1
"1068","목요일 밤 (Feat. 빈지노)","어반자카파",2,1
"1069","몸","MINO (송민호)",5,2
"1070","몸만와 (With 버벌진트)","팬텀",5,2
"1071","못참겠어 (Feat. 로꼬)","에릭남 (Eric Nam)",4,2
"1072","묘해, 너와","어쿠스틱 콜라보",3,3
"1073","무릎","아이유",5,2
"1074","무제(無題) (Untitled, 2014)","G-DRAGON",2,1
"1075","무지개 (Feat. 윤닭 Of 오브로젝트)","스탠딩 에그",5,2
"1076","문득","노을",5,2
"1077","문을 여시오 (Feat. 김창렬) (New Ver.)","임창정",4,2
"1078","문자 (Feat. 백지영)","마리오",5,2
"1079","묻고싶다 (One Love)","Wanna One (워너원)",4,2
"1080","물 만난 물고기","AKMU (악동뮤지션)",4,2
"1081","물 좋아?","4minute",5,2
"1082","물들어","손승연",4,2
"1083","뭐해 (What are you up to)","강다니엘",4,2
"1084","뭘해도 예쁜걸","길구봉구",5,2
"1085","미스코리아","이효리",1,2
"1086","미스터리 (Feat. San E)","박지윤",1,1
"1087","미안해","박정현",5,2
"1088","미안해","양다일",3,3
"1089","미안해 (feat. Beenzino)","Zion.T",2,2
"1090","미안해서 미안해 (Feat. G.NA)","김진표",5,1
"1091","미운 날","닐로(Nilo)",1,2
"1092","미운사람","비스트",5,2
"1093","미운오리새끼","god",2,1
"1094","미워요 (Feat. 용준형 Of 비스트)","이루",4,2
"1095","미워해야 한다면","플라이 투 더 스카이",4,2
"1096","미쳐","4minute",2,1
"1097","미치게 만들어","효린",1,1
"1098","미치게 보고싶은","태연 (TAEYEON)",1,1
"1099","미친 소리","이예준",4,2
"1100","미친거 아니야?","2PM",5,2
"1101","미친게 아니라구요 (Feat. MC 스나이퍼)","손승연",5,2
"1102","미친연애 (Bad Girl) (Feat. E-Sens Of 슈프림팀)","범키",2,1
"1103","밀고 당겨줘 (Tease Me)","서인국",5,2
"1104","밀당의 고수","에디킴",5,2
"1105","밀리언조각 (A Million Pieces)","규현 (KYUHYUN)",5,2
"1106","바라보기","엠씨더맥스 (M.C the MAX)",4,3
"1107","바라지 않아 (Feat. 소정 Of 레이디스 코드)","정키",5,2
"1108","바람기억","나얼",2,3
"1109","바람꽃","이선희",4,2
"1110","바람에 날려 (Feat. 펀치 (Punch))","배치기",4,2
"1111","바람의 유령","제국의아이들 (ZE:A)",4,2
"1112","바람이 불었으면 좋겠어","길구봉구",4,3
"1113","바람이나 좀 쐐 (Feat. 우혜미)","개리",2,1
"1114","바래다줄게 (Take You Home)","백현 (BAEKHYUN)",5,2
"1115","바램","임영웅",4,1
"1116","바램","정준일",5,2
"1117","바보야","허각",5,1
"1118","바보에게 바보가","지아",1,2
"1119","바보에게 바보가 (Feat. 스컬)","하하",5,2
"1120","바빠 (Bad Boy)","씨스타",2,1
